SHS,District,Location,Gender,Email,Region
Denyaseman Catholic Senior High School,Bekwai Municipal,Poano,Mixed,denyasemancathshs@ges.gov.gh,Ashanti Region
Dompoase Senior High School,Adansi North,Dompoase,Mixed,dompoaseshs@ges.gov.gh,Ashanti Region
Dwamena Akenten Senior High School,Offinso Municipal,Offinso,Mixed,dwamenaakentenshs@ges.gov.gh,Ashanti Region
Effiduase Senior High/com School,Sekyere East,Effiduase,Mixed,effiduaseshst@ges.gov.gh,Ashanti Region
Effiduase Senior High/Technical School,Sekyere East,Akyawkrom,Mixed,effiduaseshst@ges.gov.gh,Ashanti Region
Ejisu Senior High/Technical School,Ejisu Juaben Municipal,Ejisu,Mixed,ejisushst@ges.gov.gh,Ashanti Region
Ejisuman Senior High School,Ejisu Juaben Municipal,Ejisu,Mixed,ejisumanshs@ges.gov.gh,Ashanti Region
Ejuraman Anglican Senior High School,Ejura/Sekyedumase,Ejura,Mixed,ejuramananglicanshs@ges.gov.gh,Ashanti Region
Esaase Bontefufuo Senior High/Technicalnical. School,Amansie West,Esaase Bontefufuo,Mixed,esaasebontefufuoshst@ges.gov.gh,Ashanti Region
Fomena T.I. Ahmad Senior High School,Adansi North,Fomena,Mixed,T.I.ahmadiyyafomenashs@ges.gov.gh,Ashanti Region
Ghana Muslim Mission Senior High School,Sekyere Central,Beposo,Mixed,ghanamuslimmissionshs@ges.gov.gh,Ashanti Region
Gyaama Pensan Senior High/Technical School,Kwabre East,"Aboaso, Ashanti",Mixed,gyaamapensanshst@ges.gov.gh,Ashanti Region
"Islamic Senior High School, Ampabame",Kumasi Metro.,Ampabame,Mixed,islamicampabameshs@ges.gov.gh,Ashanti Region
Jachie Pramso Senior High School,Bosomtwe,Jachie Pramso,Mixed,jachiepramsoshs@ges.gov.gh,Ashanti Region
Jacobu Senior High/Technicalnical. School,Amansie Central,Jacobu,Mixed,jacobushst@ges.gov.gh,Ashanti Region
Juaben Senior High School,Ejisu Juaben Municipal,Juaben,Mixed,juabenshs@ges.gov.gh,Ashanti Region
Juaso Senior High/Technicalnical School,Asante Akim South,Juaso,Mixed,juasoshs@ges.gov.gh,Ashanti Region
Jubilee Senior High School,Asante Akim South,Dampong,Mixed,jubileeshs@ges.gov.gh,Ashanti Region
Knust Senior High School,Kumasi Metro,Knust,Mixed,knustshs@ges.gov.gh,Ashanti Region
Kofi Adjei Senior High/Technical School,Kwabre East,Bampenase,Mixed,kofiadjeishst@ges.gov.gh,Ashanti Region
Kofiase Adventist Senior High/Technical. School,Mampong Municipal,Kofiase,Mixed,kofiaseadventistshs.@ges.gov.gh,Ashanti Region
Konadu Yiadom Catholic Senior High School,Sekyere South,Asamang,Mixed,konaduyiadomcatholicshs@ges.gov.gh,Ashanti Region
Konongo Odumase Senior High School,Asante Akim Central Municipal,Odumase,Mixed,konongoodumaseshs@ges.gov.gh,Ashanti Region
Krobea Asante Tech/voc School,Sekyere East,Asokore,Mixed,krobeaasantetechvoc@ges.gov.gh,Ashanti Region
Kumasi Academy,Asokore Mampong Municipal,Asokore Mampong,Mixed,kumasiacademyshs@ges.gov.gh,Ashanti Region
Kumasi Girls Senior High School,Kumasi Metro,Abrepo,Female,kumasigirlsshs@ges.gov.gh,Ashanti Region
Kumasi Senior High School,Kumasi Metro,"Gyinyase, Kumasi",Male,kumasishs@ges.gov.gh,Ashanti Region
Kumasi Senior High/Technical School,Kumasi Metro,"Patasi, Kumasi",Mixed,kumasishst@ges.gov.gh,Ashanti Region
Kumasi Technical Institute,Kumasi Metro,Kumasi,Mixed,kumasitechinst@ges.gov.gh,Ashanti Region
Kumasi Wesley Girls High School,Kumasi Metro,"Old Tafo, Kumasi",Female,kumasiwesleygirlsshs@ges.gov.gh,Ashanti Region
Kurofa Methodist Senior High School,Asante Akim South,Kurofa,Mixed,kurofamethodistshs@ges.gov.gh,Ashanti Region
Kwanwoma Senior High School,Atwima Kwanwoma,Adum Kwanwoma,Mixed,kwanwomashst@ges.gov.gh,Ashanti Region
Maabang Senior High/Technicalnical School,Ahafo Ano North,Maabang,Mixed,maabangshst@ges.gov.gh,Ashanti Region
Mankranso Senior High School,Ahafo Ano South,Mankranso,Mixed,mankransoshs@ges.gov.gh,Ashanti Region
Manso-Adubia Senior High School,Amansie West,Adubia,Mixed,manso-adubiashs@ges.gov.gh,Ashanti Region
Mansoman Senior High School,Amansie West,Manso Atwere,Mixed,mansomanshs@ges.gov.gh,Ashanti Region
Methodist Technical Institute,Kumasi Metro.,Kwadaso,Mixed,methodisttechinst@ges.gov.gh,Ashanti Region
Mpasatia Senior High/Technical School,Atwima Mponua,Mpasatia,Mixed,mpasatiashst@ges.gov.gh,Ashanti Region
Namong Senior High/Technical School,Offinso Municipal,Namong,Mixed,namongshst@ges.gov.gh,Ashanti Region
New Edubiase Senior High School,Adansi South,New Edubiase,Mixed,newedubiaseshs@ges.gov.gh,Ashanti Region
Nkawie Senior High/Technical School,Atwima Nwabiagya,Nkawie,Mixed,nkawieshst@ges.gov.gh,Ashanti Region
Nkenkansu Community Senior High School,Offinso North,Nkenkansu,Mixed,nkenkansucommshs@ges.gov.gh,Ashanti Region
"Nuru-Ameen Islamic Senior High School, Asewase",Kumasi Metro,Asewase,Mixed,nuru-ameenislamicshs@ges.gov.gh,Ashanti Region
Nyinahin Catholic Senior High School,Atwima Mponua,Nyinahin,Mixed,nyinahincathshs@ges.gov.gh,Ashanti Region
Obuasi Senior High/Technical School,Obuasi Municipal,Obuasi,Mixed,obuasishst@ges.gov.gh,Ashanti Region
Ofoase Kokoben Senior High School,Bekwai Municipal,Ofoase Kokobin,Mixed,ofoasekokobenshs@ges.gov.gh,Ashanti Region
Ofoase Senior High/Technical School,Asante Akim South,Ofoase,Mixed,ofoaseshs@ges.gov.gh,Ashanti Region
Okomfo Anokye Senior High School,Sekyere South,Wiamoase,Mixed,okomfoanokyeshs@ges.gov.gh,Ashanti Region
Onwe Senior High School,Ejisu Onwe,Ejisu Onwe,Mixed,onweshs@ges.gov.gh,Ashanti Region
Opoku Agyeman Senior High/Technical School,Mampong Municipal,Apaah,Mixed,opokuagyemanshst@ges.gov.gh,Ashanti Region
Opoku Ware Senior High School,Kumasi Metro,Santasi-Kumasi,Male,opokuwareshs@ges.gov.gh,Ashanti Region
Oppong Mem. Senior High School,Bekwai Municipal,Kokofu,Mixed,oppongmemshs@ges.gov.gh,Ashanti Region
Osei Adutwum Senior High School,Bosomtwe,Jachie,Mixed,oseiadutwumshs@ges.gov.gh,Ashanti Region
Osei Kyeretwie Senior High School,Kumasi Metro,"Old Tafo, Kumasi",Mixed,oseikyeretwieshs@ges.gov.gh,Ashanti Region
"Osei Tutu Senior High School, Akropong",Atwima Nwabiagya,Akropong,Male,oseitutuakropongshs@ges.gov.gh,Ashanti Region
Otumfuo Osei Tutu II College,Afigya-Kwabere,Tetrem,Mixed,otumfuooseitutu11shs@ges.gov.gh,Ashanti Region
Owerriman Senior High School,Asante Akim North,Domeabra,Mixed,owerrimanshs@ges.gov.gh,Ashanti Region
Parkoso Community Senior High School,Asokore Mampong Municipal,Parkoso,Mixed,parkosocommshs@ges.gov.gh,Ashanti Region
"Pentecost Senior High School, Kumasi",Kumasi Metro,"Breman West, Kumasi",Mixed,pentecostkumasishs@ges.gov.gh,Ashanti Region
Prempeh College,Kumasi Metro,"Sofoline, Kumasi",Male,prempehshs@ges.gov.gh,Ashanti Region
"Presby Senior High/Technical School, Kwamang",Sekyere Central,Kwamang,Mixed,presbykwamangshst@ges.gov.gh,Ashanti Region
Prince Of Peace Girls,Kumasi Metro,Kwadaso Estates,Mixed,princeofpeacegirlsshs@ges.gov.gh,Ashanti Region
"S.D.A. Senior High School, Agona",Sekyere South,Agona,Mixed,sdaagonashs@ges.gov.gh,Ashanti Region
"S.D.A. Senior High School, Bekwai",Bekwai Municipal,Bekwai,Mixed,sdabekwaishs@ges.gov.gh,Ashanti Region
Sabronum Methodist Senior High/Technicalnical School,Ahafo Ano South,Sabronum/Habitat,Mixed,sabronummethodistshst@ges.gov.gh,Ashanti Region
Sakafia Islamic Senior High School,Asokore Mampong Municipal,Sawaba,Mixed,sakafiaislamicshs@ges.gov.gh,Ashanti Region
Sekyedumase Senior High/Technical School,Ejura/Sekyedumase,Sekyedumase,Mixed,sekyedumashst@ges.gov.gh,Ashanti Region
Serwaah Nyarko Girls’ Senior High School,Kumasi Metro,Dichemso,Female,serwaahnyarkogirlsshs@ges.gov.gh,Ashanti Region
Simms Senior High/com. School,Kwabre East,Fawoade,Mixed,simmscomshs@ges.gov.gh,Ashanti Region
Spiritan Senior High School,Nkawie,Adankwame,Mixed,spiritanshs@ges.gov.gh,Ashanti Region
St. George’s Senior High Tech School,Bosomtwe,Kuntanase,Mixed,st.georgesshst@ges.gov.gh,Ashanti Region
"St. Hubert Sem/senior High School, Kumasi",Kumasi Metro,Santasi-Kumasi,Male,st.hubertsemshs@ges.gov.gh,Ashanti Region
"St. Jerome Senior High School, Abofour",Offinso Municipal,Abofour,Mixed,st.jeromeshs@ges.gov.gh,Ashanti Region
St. Joseph Sem/Senior High School,Mampong Municipal,Mampong,Mixed,st.josephsemshs@ges.gov.gh,Ashanti Region
"St. Joseph Senior High/Technical School, Ahwiren",Bekwai Municipal,Ahwiren,Mixed,st.josephahwirenshst@ges.gov.gh,Ashanti Region
"St. Louis Senior High School, Kumasi",Kumasi Metro,Oduom-Kumasi,Female,st.louiskumasishs@ges.gov.gh,Ashanti Region
"St. Mary’s Girl’s Senior High, Konongo",Asante Akim Central Municipal,Konongo,Female,st.marygirlkonongoshs@ges.gov.gh,Ashanti Region
St. Michael Technical/Vocational Institute,Bosomtwe,Pramso,Mixed,st.michaeltechvocinst@ges.gov.gh,Ashanti Region
"St. Michael’s Senior High School, Ahenkro",Afigya-Kwabre,Ahenkro,Mixed,st.michaelahenkroshs@ges.gov.gh,Ashanti Region
"St. Monica’s Senior High School, Mampong",Mampong Municipal,Mampong,Female,st.monicasmampongshs@ges.gov.gh,Ashanti Region
St. Sebastian Catholic Senior High School,Ejisu Juaben,Adumasa,Mixed,st.sebastiancathshs@ges.gov.gh,Ashanti Region
"T. I. Ahmadiyya Girl’s Senior High School, Asokore",Sekyere East,Asokore,Female,T.I.ahmadiyyagirlsshs@ges.gov.gh,Ashanti Region
"T. I. Ahmadiyya Senior High School, Kumasi",Kumasi Metro,Kumasi – Stadium,Mixed,T.I.ahmadiyyakumasishs@ges.gov.gh,Ashanti Region
Tawheed Senior High School,Kumasi Metro,Kumasi – Akwatia Line,Mixed,tawheedshs@ges.gov.gh,Ashanti Region
Tepa Senior High School,Ahafo Ano North,Tepa,Mixed,tepashs@ges.gov.gh,Ashanti Region
Tijjaniya Senior High School,Sekyere East,Asokore,Mixed,tijjaniyashs@ges.gov.gh,Ashanti Region
Toase Senior High School,Atwima Nwabiagya,Toase,Mixed,toaseshs@ges.gov.gh,Ashanti Region
Tweapease Senior High School,Amansie Central,Tweapease,Mixed,tweapeaseshs@ges.gov.gh,Ashanti Region
Tweneboa Kodua Senior High School,Sekyere Kumawu,Kumawu,Mixed,tweneboakoduashs@ges.gov.gh,Ashanti Region
"Uthmaniya Senior High School, Tafo",Kumasi Metro,Tafo,Mixed,uthmaniyashs@ges.gov.gh,Ashanti Region
"Wesley High School, Bekwai",Bekwai Municipal,Bekwai,Mixed,wesleyhighbekwaishs@ges.gov.gh,Ashanti Region
"Wesley Senior High School, Konongo",Asante Akim Central Municipal,Konongo,Mixed,wesleykonongoshs@ges.gov.gh,Ashanti Region
Wiafe Akenten Presby Senior High School,Offinso North,Afrancho,Mixed,wiafeakentenpresbyshs@ges.gov.gh,Ashanti Region
Yaa Asantewaa Girls Senior High School,Kumasi Metro,"Tanoso, Kumasi",Female,yaaasantewaagirlsshs@ges.gov.gh,Ashanti Region
Abakrampa Senior High/Technical School,Abura/Asebu/Kwamankese,Abakrampa,Mixed,abakrampashst@ges.gov.gh,Central Region
Abeadze State College,Mfantsiman Municipal,Abeadze Domeabra,Mixed,abeadzestateshs@ges.gov.gh,Central Region
Aburaman Senior High School,Abura/Asebu/Kwamankese,Abura Dunkwa,Mixed,aburamanshs@ges.gov.gh,Central Region
"Academy of Christ the King, Cape Coast",Cape Coast Metro,Cape Coast,Mixed,academyofchristthekingshs@ges.gov.gh,Central Region
Adankwaman Senior High School,Assin South,Assin Darmang,Mixed,adankwamanshs@ges.gov.gh,Central Region
Adisadel College,Cape Coast Metro,Cape Coast,Male,adisadelshs@ges.gov.gh,Central Region
Aggrey Mem. A.M.E. Zion Senior High School,Abura/Asebu/Kwamankese,Cape Coast,Mixed,aggreymemamezionshs@ges.gov.gh,Central Region
Agona Fankobaa Senior High School,Agona West Municipal,Agona Fankobaa,Mixed,agonafankobaashs@ges.gov.gh,Central Region
Agona Namonwora Communitysenior High School,Agona East,Agona Namonwora,Mixed,agonanamonworacommshs@ges.gov.gh,Central Region
Akyin Senior High School,Ekumfi Central,Mbroboto,Mixed,akyinshs@ges.gov.gh,Central Region
Apam Senior High School,Gomoa West,Apam,Mixed,apamshs@ges.gov.gh,Central Region
Assin Manso Senior High School,Assin South,Assin Manso,Mixed,assinmansoshs@ges.gov.gh,Central Region
Assin North Senior High/Technical School,Assin North Municipal,Assin Asempaneye,Mixed,assinnorthshst@ges.gov.gh,Central Region
Assin Nsuta Senior High School,Assin South,Assin Nsuta,Mixed,assinnsutaagricshs@ges.gov.gh,Central Region
Assin State College,Assin North Municipal,Assin Bereku,Mixed,assinstateshs@ges.gov.gh,Central Region
Asuansi Technical Institute,Abura/Asebu/Kwaman,Asuansi,Mixed,asuansitechinst@ges.gov.gh,Central Region
Awutu Bawjiase Comm Senior High School,Awutu Senya,Bawjiase,Mixed,awutubawjiasecommshs@ges.gov.gh,Central Region
Awutu Winton Senior High School,Awutu Senya,Awutu,Mixed,awutuwintonshs@ges.gov.gh,Central Region
Ayanfuri Senior High School,Upper Denkyira West,Ayanfuri,Mixed,ayanfurishs@ges.gov.gh,Central Region
Bisease Senior High/Community School,Ajumako/ Enyan/Esiam,Bisease,Mixed,biseaseshscomshs@ges.gov.gh,Central Region
Boa-Amponsem Senior High School,Upper Denkyira East Municipal,Dunkwa-on Offin,Mixed,boa-amponsemshs@ges.gov.gh,Central Region
Bontrase Senior High Tech. School,Awutu Senya,Jei Krodua,Mixed,bontraseshst@ges.gov.gh,Central Region
Brakwa Senior High/Technical School,Asikuma/Odoben/Brakwa,Brakwa,Mixed,brakwashst@ges.gov.gh,Central Region
Breman Asikuma Senior High School,Asikuma/Odoben/Brakwa,Breman Asikuma,Mixed,bremanasikumashs@ges.gov.gh,Central Region
Cape Coast Technical Institute,Cape Coast,Cape Coast,Mixed,capecoasttechinst@ges.gov.gh,Central Region
"College of Music Senior High School, Mozano",Gomoa West,Mozano,Mixed,collegeofmusicshs@ges.gov.gh,Central Region
Diaso Senior High School,Upper Denkyira West,Diaso,Mixed,diasoshs@ges.gov.gh,Central Region
Dunkwa Senior High/Technical School,Upper Denkyira East Municipal,Dunkwa-on Offin,Mixed,dunkwaseshst@ges.gov.gh,Central Region
Edinaman Senior High School,Komenda/Edina/Eguafo/Abirem Municipal,Elmina,Mixed,edinamanshs@ges.gov.gh,Central Region
Effutu Senior High/Technical School,Cape Coast Metro,Cape Coast,Mixed,effutushst@ges.gov.gh,Central Region
Eguafo-Abrem Senior High School,Komenda/Edina/Eguafo/Abirem Municipal,Eguafo Abirem,Mixed,eguafoabremshs@ges.gov.gh,Central Region
Ekumfi T. I. Ahmadiiyya Senior High School,Ekumfi,Esakyir,Mixed,ekumfittiahmadiyyashs@ges.gov.gh,Central Region
Enyan Denkyira Senior High School,Ajumako/ Enyan/esiam,Denkyira,Mixed,enyandenkyirashs@ges.gov.gh,Central Region
Enyan Maim Community Day Senior High School,Ajumako/ Enyan/Esiam,Enyan Maim,Mixed,enyanmaimcommshs@ges.gov.gh,Central Region
Enyan-Abaasa Technical Institute,Ajumako/Enyan/Essiam,Enyan-Abaasa,Mixed,enyanabaasatechinst@ges.gov.gh,Central Region
Fettehman Senior High School,Gomoa East,Gomoa Fetteh,Mixed,fettehmanshs@ges.gov.gh,Central Region
Ghana National College,Cape Coast Metro,Cape Coast,Mixed,ghananationalshs@ges.gov.gh,Central Region
Gomoa Gyaman Senior High School,Gomoa East,Gomoa Gyaman,Mixed,gomoagyamanshs@ges.gov.gh,Central Region
Gomoa Senior High/Technical School,Gomoa West,Dawurampon,Mixed,gomoashst@ges.gov.gh,Central Region
Gyaase Community Senior High School,Assin North Municipal,Assin Akonfudi,Mixed,gyaasecommunityshs@ges.gov.gh,Central Region
"Holy Child School, Cape Coast",Cape Coast Metro,Cape Coast,Female,holychildsch@ges.gov.gh,Central Region
